",""x""";Species_Name;Family;Subfamily;Tribe;Genus;Species;Antennae;Antennomere_I;Antennomere_II;Antennomere_III;Sum;Reference;
"120,""Mictis_longicornis_CMF_0184""";Mictis_longicornis;Coreidae;Coreinae;Mictini;Mictis;longicornis;1;1;1;1;3;https://www.inaturalist.org/observations/202855456;
"121,""Pternistria_bispina_CMF_0698""";Pternistria_bispina;Coreidae;Coreinae;Mictini;Pternistria;bispina;1;1;1;1;3;https://www.inaturalist.org/observations/186357628;
"122,""Mictis_profana_CMF_0412""";Mictis_profana;Coreidae;Coreinae;Mictini;Mictis;profana;1;1;1;1;3;https://www.inaturalist.org/observations/220175043;
"123,""Cloresmus_antennatus_CMF_0634""";Cloresmus_antennatus;Coreidae;Coreinae;Cloresmini;Cloresmus;antennatus;1;1;1;1;3;http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1187825&ImageID=180366;
"124,""Cloresmus_sp_CMF_0743""";Cloresmus_sp.;Coreidae;Coreinae;Cloresmini;Cloresmus;sp.;0;0;0;0;0;NA;
"125,""Notobitus_nr_affinis_CMF_0530""";Notobitus_affinis;Coreidae;Coreinae;Cloresmini;Notobitus;affinis;1;1;1;1;3;https://www.inaturalist.org/taxa/332172-Notobitus;
"126,""Notobitus_sexguttatus_CMF_0747""";Notobitus_sexguttatus;Coreidae;Coreinae;Cloresmini;Notobitus;sexguttatus;1;1;1;1;3;https://www.inaturalist.org/observations/94672226;
"127,""Notobitus_meleagris_CMF_0529""";Notobitus_meleagris;Coreidae;Coreinae;Cloresmini;Notobitus;meleagris;1;1;1;1;3;https://www.inaturalist.org/observations/94672226;
"128,""Dalader_planiventris_CMF_0737""";Dalader_planiventris;Coreidae;Coreinae;Daladerini;Dalader;planiventris;2;1;1;2;4;https://www.inaturalist.org/observations/175003086;
"129,""Latimbus_concolor_CMF_0827""";Latimbus_concolor;Coreidae;Coreinae;Latimbini;Latimbus;concolor;1;1;1;1;3;https://www.inaturalist.org/observations/96444110;
"13,""Petascelis_remipes_CMF_0330""";Petascelis_remipes;Coreidae;Coreinae;Petascelini;Petascelis;remipes;1;1;1;1;3;https://www.inaturalist.org/observations/197707768;
"130,""Latimbus_refulgens_CMF_0650""";Latimbus_refulgens;Coreidae;Coreinae;Latimbini;Latimbus;refulgens;0;0;0;0;0;NA;
"131,""Odontocurtus_consociatus_CMF_0694""";Odontocurtus_consociatus;Coreidae;Coreinae;Daladerini;Odontocurtus;consociatus;1;1;1;1;3;https://www.biodiversitylibrary.org/item/310672#page/208/mode/1up;
"132,""Odontorhopala_callosa_CMF_0697""";Odontorhopala_callosa;Coreidae;Coreinae;Daladerini;Odontorhopala;callosa;1;1;1;1;3;https://www.inaturalist.org/observations/193796476;
"133,""Cletoliturus_lituripennis_CMF_0709""";Cletoliturus_lituripennis;Coreidae;Coreinae;Gonocerini;Cletoliturus;lituripennis;1;1;1;1;3;https://www.inaturalist.org/observations/90389168;
"134,""Cletomorpha_benita_CMF_0820""";Cletomorpha_benita;Coreidae;Coreinae;Gonocerini;Cletomorpha;benita;1;1;1;1;3;https://www.inaturalist.org/observations/150816762;
"135,""Cletomorpha_nyasana_CMF_0748""";Cletomorpha_nyasana;Coreidae;Coreinae;Gonocerini;Cletomorpha;nyasana;1;1;1;1;3;https://www.inaturalist.org/observations/19346308;
"136,""Cletus_binotulatus_CMF_0767""";Cletus_binotulatus;Coreidae;Coreinae;Gonocerini;Cletus;binotulatus;1;1;1;1;3;https://www.inaturalist.org/observations/72038645;
"137,""Cletus_ochraceus_CMF_0152""";Cletus_ochraceus;Coreidae;Coreinae;Gonocerini;Cletus;ochraceus;1;1;1;1;3;https://www.inaturalist.org/observations/199027860;
"138,""Cletus_sp_CMF_0765""";Cletus_sp.;Coreidae;Coreinae;Gonocerini;Cletus;sp.;0;0;0;0;0;NA;
"139,""Coreus_marginatus_CMF_0793""";Coreus_marginatus;Coreidae;Coreinae;Coreini;Coreus;marginatus;1;1;1;1;3;https://www.inaturalist.org/observations/217262136;
"14,""Sephina_geniculata_CMF_0172""";Sephina_geniculata;Coreidae;Coreinae;Spartocerini;Sephina;geniculata;1;1;1;1;3;https://www.inaturalist.org/observations/34169896;
"140,""Pephricus_paradoxus_CMF_0730""";Pephricus_paradoxus;Coreidae;Coreinae;Phyllomorphini;Pephricus;paradoxus;1;1;1;1;3;https://www.inaturalist.org/observations/10356228;
"141,""Tongorma_latreillii_CMF_0735""";Tongorma_latreillii;Coreidae;Coreinae;Phyllomorphini;Tongorma;latreillii;1;1;1;1;3;https://www.inaturalist.org/observations/9516286;
"142,""Haidara_producta_CMF_0824""";Haidara_producta;Coreidae;Coreinae;Coreini;Haidara;producta;1;1;1;1;3;http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1188408&ImageID=179171;
"143,""Prionotylus_brevicornis_CMF_0916""";Prionotylus_brevicornis;Coreidae;Coreinae;Prionotylini;Prionotylus;brevicornis;1;1;1;1;3;https://www.inaturalist.org/observations/165216846;
"144,""Fracastorius_cornutus_CMF_0531""";Fracastorius_cornutus;Coreidae;Coreinae;Homoeocerini;Fracastorius;cornutus;1;1;1;1;3;https://www.inaturalist.org/observations/79909458;
"145,""Homoeocerus_marginellus_CMF_0327""";Homoeocerus_angulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;angulatus;1;1;1;1;3;https://www.inaturalist.org/observations/55482084;
"146,""Homoeocerus_angulatus_CMF_0759""";Homoeocerus_bipustulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;bipustulatus;1;1;1;1;3;https://www.inaturalist.org/observations/203877911;
"147,""Homoeocerus_bipustulatus_CMF_0093""";Homoeocerus_marginellus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;marginellus;1;1;1;1;3;https://www.inaturalist.org/observations/106667806;
"148,""Prismatocerus_auriculatus_CMF_0734""";Prismatocerus_auriculatus;Coreidae;Coreinae;Homoeocerini;Prismatocerus;auriculatus;2;1;1;2;4;https://www.inaturalist.org/observations/363614079;
"149,""Galaesus_hasticornis_CMF_0701""";Galaesus_hasticornis;Coreidae;Coreinae;Dasynini;Galaesus;hasticornis;2;1;1;2;4;https://www.inaturalist.org/observations/134870537;
"15,""Sephina_subulata_CMF_0799""";Sephina_subulata;Coreidae;Coreinae;Spartocerini;Sephina;subulata;1;1;1;1;3;https://www.inaturalist.org/observations/34169896;
"150,""Manocoreus_yunnanensis_CMF_1133""";Manocoreus_yunnanensis;Coreidae;Coreinae;Manocoreini;Manocoreus;yunnanensis;1;1;1;1;3;https://www.inaturalist.org/observations/197599530;
"151,""Althos_obscurator_CMF_0870""";Althos_obscurator;Coreidae;Coreinae;Hypselonotini;Althos;obscurator;1;1;1;1;3;https://www.inaturalist.org/observations/189957192;
"152,""Vazquezitocoris_repletus_CMF_0851""";Vazquezitocoris_repletus;Coreidae;Coreinae;Hypselonotini;Vazquezitocoris;repletus;1;1;1;1;3;https://www.inaturalist.org/observations/9706545;
"153,""Catorhintha_guttula_CMF_0102""";Catorhintha_guttula;Coreidae;Coreinae;Hypselonotini;Catorhintha;guttula;1;1;1;1;3;https://www.inaturalist.org/observations/37060365;
"154,""Catorhintha_texana_CMF_0070""";Catorhintha_texana;Coreidae;Coreinae;Hypselonotini;Catorhintha;texana;1;1;1;1;3;https://www.inaturalist.org/observations/89441517;
"155,""Scolopocerus_secundarius_CMF_0808""";Scolopocerus_secundarius;Coreidae;Coreinae;Hypselonotini;Scolopocerus;secundarius;1;1;1;1;3;https://www.inaturalist.org/observations/134089652;
"156,""Villasitocoris_inconspicuus_CMF_0822""";Villasitocoris_inconspicuus;Coreidae;Coreinae;Hypselonotini;Villasitocoris;inconspicuus;1;1;1;1;3;https://www.inaturalist.org/observations/15003684;
"157,""Athaumastus_subterlineatus_CMF_0528""";Athaumastus_sp.;Coreidae;Coreinae;Acanthocerini;Athaumastus;sp.;0;0;0;0;0;NA;
"158,""Crinocerus_sanctus_CMF_0860""";Crinocerus_sanctus;Coreidae;Coreinae;Acanthocerini;Crinocerus;sanctus;1;1;1;1;3;https://www.inaturalist.org/observations/209541502;
"159,""Euthochtha_galeator_CMF_0162""";Euthochtha_galeator;Coreidae;Coreinae;Acanthocerini;Euthochtha;galeator;1;1;1;1;3;https://www.inaturalist.org/observations/211865530;
"16,""Spartocera_batatas_CMF_0096""";Spartocera_batatas;Coreidae;Coreinae;Spartocerini;Spartocera;batatas;1;1;1;1;3;https://www.inaturalist.org/observations/68650365;
"160,""Acanthocerus_crucifer_CMF_0541""";Acanthocerus_cruciger;Coreidae;Coreinae;Acanthocerini;Acanthocerus;cruciger;1;1;1;1;3;https://www.inaturalist.org/observations/171579814;
"161,""Camptischium_clavipes_CMF_0548""";Camptischium_clavipes;Coreidae;Coreinae;Acanthocerini;Camptischium;clavipes;1;1;1;1;3;https://www.inaturalist.org/observations/207003100;
"162,""Zoreva_lacerna_CMF_0813""";Zoreva_lacerna;Coreidae;Coreinae;Acanthocerini;Zoreva;lacerna;1;1;1;1;3;https://www.inaturalist.org/observations/106722358;
"163,""Zoreva_lobulata_CMF_0549""";Zoreva_lobulata;Coreidae;Coreinae;Acanthocerini;Zoreva;lobulata;1;1;1;1;3;https://www.inaturalist.org/observations/208284668;
"164,""Chariesterus_antennator_CMF_0103""";Chariesterus_antennator;Coreidae;Coreinae;Chariesterini;Chariesterus;antennator;2;1;1;2;4;https://www.inaturalist.org/observations/101158849;
"165,""Chariesterus_armatus_CMF_0744""";Chariesterus_armatus;Coreidae;Coreinae;Chariesterini;Chariesterus;armatus;2;1;1;2;4;https://www.inaturalist.org/observations/11031578;
"166,""Plapigus_abdominalis_CMF_0002""";Plapigus_abdominalis;Coreidae;Coreinae;Chariesterini;Plapigus;abdominalis;2;1;1;2;4;https://www.biodiversitylibrary.org/item/60304#page/545/mode/1up;
"167,""Hypselonotus_bitrianguliger_CMF_0073""";Hypselonotus_bitrianguliger;Coreidae;Coreinae;Hypselonotini;Hypselonotus;bitrianguliger;1;1;1;1;3;https://www.inaturalist.org/observations/195301327;
"168,""Hypselonotus_fulvus_CMF_0145""";Hypselonotus_fulvus;Coreidae;Coreinae;Hypselonotini;Hypselonotus;fulvus;1;1;1;1;3;https://www.inaturalist.org/observations/211778252;
