Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Coreinae,Coreini,Coreus,marginatus,1,0,1,https://www.inaturalist.org/observations/217262136,https://www.inaturalist.org/observations/206413787,,
Coreidae,Coreinae,Coreini,Haidara,producta,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1188408&ImageID=179171,,,
Coreidae,Coreinae,Daladerini,Dalader,planiventris,0,1,0,https://www.inaturalist.org/observations/175003086,https://www.inaturalist.org/observations/77203455,,
Coreidae,Coreinae,Daladerini,Odontocurtus,consociatus,NA,NA,NA,,,,
Coreidae,Coreinae,Daladerini,Odontorhopala,callosa,1,0,NA,https://www.inaturalist.org/observations/193796476,,,
Coreidae,Coreinae,Dasynini,Galaesus,hasticornis,,1,0,https://www.inaturalist.org/observations/134870537,https://www.inaturalist.org/observations/154272003,,
Coreidae,Coreinae,Gonocerini,Cletoliturus,lituripennis,1,0,NA,https://www.inaturalist.org/observations/90389168,,,
Coreidae,Coreinae,Gonocerini,Cletomorpha,benita,1,0,NA,https://www.inaturalist.org/observations/150816762,https://www.inaturalist.org/observations/19291365,,
Coreidae,Coreinae,Gonocerini,Cletomorpha,nyasana,1,0,NA,https://www.inaturalist.org/observations/19346308,,,
Coreidae,Coreinae,Gonocerini,Cletus,binotulatus,1,0,NA,https://www.inaturalist.org/observations/72038645,,,
Coreidae,Coreinae,Gonocerini,Cletus,ochraceus,1,0,NA,https://www.inaturalist.org/observations/199027860,,,
Coreidae,Coreinae,Gonocerini,Cletus,sp.,1,0,1,https://www.inaturalist.org/observations/182918231,https://www.inaturalist.org/observations/96189509,,
Coreidae,Coreinae,Homoeocerini,Fracastorius,cornutus,1,0,0,https://www.inaturalist.org/observations/79909458,https://www.inaturalist.org/observations/118501091,,
Coreidae,Coreinae,Homoeocerini,Homoeocerus,angulatus,1,0,NA,https://www.inaturalist.org/observations/55482084,,,
Coreidae,Coreinae,Homoeocerini,Homoeocerus,bipustulatus,1,0,NA,https://www.inaturalist.org/observations/203877911,,,
Coreidae,Coreinae,Homoeocerini,Homoeocerus,marginellus,1,0,0,https://www.inaturalist.org/observations/106667806,,,
Coreidae,Coreinae,Homoeocerini,Prismatocerus,auriculatus,1,0,0,https://www.inaturalist.org/observations/10874483,https://www.inaturalist.org/observations/155128357,,
Coreidae,Coreinae,Hypselonotini,Althos,obscurator,1,0,0,https://www.inaturalist.org/observations/189957192,https://www.inaturalist.org/observations/201620150,,
Coreidae,Coreinae,Hypselonotini,Anasa,andresii,1,0,NA,https://www.inaturalist.org/observations/133156853,https://www.inaturalist.org/observations/130855846,,
Coreidae,Coreinae,Hypselonotini,Anasa,bellator,1,0,0,https://www.inaturalist.org/observations/63583353,https://www.inaturalist.org/observations/39568154,,
Coreidae,Coreinae,Hypselonotini,Anasa,scorbutica,1,0,1,https://www.inaturalist.org/observations/72684838,https://www.inaturalist.org/observations/205158979,,
Coreidae,Coreinae,Hypselonotini,Anasa,tristis,1,0,1,https://www.inaturalist.org/observations/184326293,https://www.inaturalist.org/observations/180137768,,
Coreidae,Coreinae,Hypselonotini,Anasa,varicornis,1,0,0,https://www.inaturalist.org/observations/130191347,https://www.inaturalist.org/observations/88940998,,
Coreidae,Coreinae,Hypselonotini,Catorhintha,guttula,1,0,NA,https://www.inaturalist.org/observations/37060365,,,
